discourse_id,essay_id,discourse_text,discourse_type,discourse_effectiveness
802277eb00a4,1F9026998271,"if the school system somehow managed to squeeze in enough time for an extracurricular activity for everybody without adding any time to the school day, it could potentially be wasteful of the teacher's already limited teaching time. ",Claim,Effective
de28af63f371,AA4620DAA6CF,i think thats far more organized than for everyone to go through a process on a computer or something ,Rebuttal,Adequate
184c3b08e181,F0AA6B265B6F,"There are two main fallacies in this argument: first, that bullying can still happen outside of school; and second, that this sheltering makes it easier for bullying to occur later in life. ",Rebuttal,Effective
097a7a22df9c,7A0C11980EB8,"According to the author of the ""Challenges of Exploring Venus,"" he believes that it is a good idea to pursue more knowledge of the planet Venus. The author feels that getting to know our sister planet is important, and that there are ways to explore this planet safely and effectivly ",Lead,Effective
b72907e52b56,28D8A6A8A99D,"The Electoral College is a process where voters select electors who then vote for the President of the United State. But is it really that reliable? Is it better than an election decided by that of popular vote. 
",Lead,Effective
ebe90365ac0f,129497C3E0FC,reduce polution ,Claim,Adequate
3df473578d90,90F9C06E19BC,they can also use there cars less ,Position,Adequate
29b9b147e94d,BB5B7EE4A1A6,", students need to be better prepared for the independence that comes later in their life, whether it is college or the work force, these valuable life skills need to be learned for the ability to succeed in any area of life. For this reason I believe that the summer projects should be designed by the students for the chance to prove there worth and develop key skills that are required in adult life. Do not limit what a student can do based on the stereotypes around their generation. Let students have the opportunity to represent what they know.  ",Concluding Statement,Adequate
5f5b3d26ed69,0428DEB82659,It is possible for the candidate with the most electoral votes not win the national vote. ,Counterclaim,Adequate
ff78ef23b16e,CE9EB0366069,"Learning does not stop at the end of high school, and it certainly does not stop at the end of a school year. Student-designed projects allow for creativity and individualism from each and every student, and allowing teachers to have a guiding-but not controlling-hand in the projects can lead to fantastic academic results.  ",Concluding Statement,Effective
67c7574e1d2e,44442D65C858,"The Facial Action Coding system does so many great things that would help schools and society. It helps with schooling because it could make it more fun, they use video imagery which helps recognize the facial emotion, and humans perform this act every day but, the Facial System helps with expressing the emotion. These all help the world in so many ways. ",Concluding Statement,Adequate
9be8b46ac674,B216794ACCCA,"The conflict of whether or not scientists should study the planet Venus has been up in the air, no pun intended, for sometime now. Many individuals think that studying Venus up close is too dangerous, whereas others disagree and think risks should be made. ",Lead,Effective
c2b7c629d068,527EB3C89F2F,To start this off it would be a great idea to study venus because it's some much different then earth ,Position,Adequate
0744c1a2c9a9,22FBB7ED7597,"The author mentioned that on the planet's surface, temperatures average over 800 degrees Fahrenheit, and the atmospheric pressure is 90 times greater than what we experience on our own planet . His solution to survive this weather that is dangerous to us humans is to allow them to float above the fray. A ""blimp-like"" vehicle hovering 30 or so miles would help avoid the unfriendly ground conditions . At thirty-plus miles above the surface, temperatures would still be toasty at around 170 degrees Fahrenheit, but the air pressure would be close to that of sea level on Earth ",Evidence,Adequate
eff8bbd362c1,6ECD533A72F4,"However, manufacturers are developing an answer to this concern which introduces more safety than a regular driving environment would have. Some manufacturers are introducing in-car displays which turn off instantly when driver assistance is required, which is not possible with a regular cellphone or messaging device. This eliminates any in-car distraction during the driving task, With human error eliminated, driverless cars are much safer than regular ones. ",Rebuttal,Effective
375561f0c457,86FFB72A8AE3,"here are the great value of using technology.

there is sofeware that can recongize emotions better ways foe human and computer to commmunic. ",Position,Adequate
7cfa8982c06a,871287046F85,"Well, imagine how much better it would be to look at your situations from different angles. Wouldn't that be pretty nice? ",Rebuttal,Adequate
0ffde1f95be5,43A98A5165A6,"If they appreciate it more, they are also more likely to try harder on the project then they would have otherwise. They will also think it's a better idea if they formulated it rather than the teacher. People tend to love and appreciate their ideas more than other people's ideas. Even now, their are a lot of students who complain that they don't like the projects given to them. A lot of students blame the teacher if they got a bad grade on a test or a project but with this idea, they do not have someone to blame so they will be more pressured to do the project. Even though teachers have more knowledge and experience, students know what they themselves need to work on and improve with. Giving them control and a free opportunity to dive in deeper in areas they need more improvement in would make students be thankful towards the school. Some students may not take advantage of this but schools still need to keep faith that the majority would. The students who don't, probably also would not do it if it was teacher assigned it, but hearing ""student made"" is encouraging. Therefor, more students would get it done rather then if it was teacher made. ",Evidence,Effective
d1228e4c6301,7A0F4648B341,"This actually makes sense, except that they should be required to do it. ",Rebuttal,Adequate
1bbbc8261300,60C9C0AC9F48,I believe that these projects should be designed by teachers ,Position,Adequate
d071761bb75c,986C125C24A1,"As the author suggests that studying Venus is a worthy pursuit despite the dangers it presents, I agree with him ",Position,Adequate
b1f1a493c2bf,9CA73E4BA19F,Everyone knows that traveling outer space can be risky. Some many even say it is danergous. Others may say that we can come up with better technology to improve safety when traveling other planets in outer space. ,Lead,Adequate
ac5cb3aec0a9,0B606C33AC4D,"In a lot of cities and or countries, there are a lot of ""non-safe"" streets. There are always car accidents, people dying in these car accidents, there used in some kind of violence. Car accidents are one of the most caused death. This is because people are in a rush so they have to do over the speed limit, people driving recklessly and feel that ""oh im cool"" or ""watch me do this"" and ends up in something that they thought at the time wouldnt of happened because they thought they had control. So if getting rid of cars would deffinetly dramatically decrease the number of deaths we have just by getting rid of the cars.  Just think of how many lives will be saved! Most of the time thefts are not captured because they always have a run away vehicle to get a way. If we stop using cars, what are they gonna use to get a way? If they try using public transportation to get away, with other people on the bus, he would look suspicious, and get caught. The streets would be a lot safer, especially for adults that have children. Children get snatched up in what? A bicicyle? No, a car. ",Evidence,Adequate
cb6573b991df,2E7245D9A04D,Its helps the students outs when they are trying to figure out what they can do to help with each emotion you have. ,Claim,Adequate
72cf6eafe786,3F400A7BC136,but the impacts it can cause are huge. ,Rebuttal,Adequate
ac3e7631b536,5412AD81F965,"But, schools will have a raise in student participation with the summer project if schools allow them choice of their own topic. Schools will notice students doing their summer projects that didnt do them the prior year when the topic was assigned. As well as letting the students choose their own topic schools are letting the students let their teacher know a little bit about themselves with whatever topic they choose. This allows the teachers to better understand their students before the year really kicks off. ",Rebuttal,Effective
b1c71eb3612f,11B9AC1814C8,"The article says, ¨... humans have sent numerous spacecraft to land on this cloud-draped world,¨ and then says ¨... since no spacecraft survived the landing for more than a few hours.¨ If a spacecraft made by people can not survive the landing on Venus numerous times, how can we even come close to surviving the trip? Venus is too dangerous to explore and it is a waste to even send a spacecraft. The spacecrafts cost a good amount of money to make and for them to be wasted on a inhospitable planet is not worth the information we would achieve. 
",Evidence,Effective
243ffe40ff29,18D68AEC46D6,You should use your car to go anywhere in your neighborhood thats walking distance ,Position,Adequate
b2e55e4a3632,946C874A9CCD,"The science of emotion recognition is complex and is becoming exponentially more complex the further a topic is being disscused. In the realm of arguing weather the use of emotional recognition technology should be used in a classroom can be a very difficult tquestion. On one side, you can say it may invade privacy, but on the other hand, it could help teachers see if students are understanding the topic. The question still lies on which one is more important for both the student and the teacher. ",Lead,Effective
f4afeeb9d84a,3D93701B4E8D,"A classroom computer could recognize when a student is becoming confused or bored, then it can modify the lesson like an effective human instructor. ",Claim,Adequate
e623375b37ae,3BFD98581812,"the from the artical how the auther relliy wants to go to venus so they gave us the resons how it is earths twin, flying over it with a blimp or jet of some kind, as well as a mecanical computer. so in conclusen the auther relly whant to go to venus ",Concluding Statement,Adequate
0a252253b808,DF76BBCD85B1,"Although it may just apply pressure and stress on the students which is what we don't want happening to them.

We shouldn't make kids design their own projects especially if most don't want to do it. ",Rebuttal,Adequate
c1bef6e4e438,0878DADF1B3C,"In PLumers article he states that, ""candiadtes dont spend time in states they know they have no chance of winning, focusing only on the the tight races in the ""swing"" states. ",Counterclaim,Adequate
3d38504c3257,2421208F6A6E,But they would be making explanation to have their phones ,Rebuttal,Adequate
a26da7b10f15,45775C79FA64,when it's not ,Rebuttal,Adequate
81056062f5c7,6A2F708CAA8B,Texting and driving should not be aloud ,Position,Adequate
72a51cd28fcc,3BDE1763ECDA,"Even though Venus has harsh conditions that humans are not able to survive on, there are still technological avdvances that could lead us to exploring or living on the planet. Most scientists are curious of new things even if they can not physically study it in which the, ""Human curiosity will likely lead us into many equally intimidating endeavors."" such as Venus. The conditions of Venus will not stop scientists or researchers from trying to gather more and more information of Venus. The study of Venus could be an oppertunity to a whole new world. There are ways and technological ways that will allow humans to live on Venus but it just has not been discovered yet. ",Evidence,Adequate
c151e34817e6,1B9A3BB7082E,"By the way in source 3 the auther states that the winner of the electoral vote will not win the popular vote. There are five reasons for retaining the electoral collage despite its lack of democratic pedigree all are practical reasons ,not liberal or conservative reasons. ",Counterclaim,Adequate
9e8c1ac188a7,B7819FA33B21,"I strongly believe that summer assignments should be student-designed. This is true because students will understand the assignment better since it was created by them, students will also feel the need to get it done,and lastly, it will be a more fun and creative way for the students the learn.  ",Concluding Statement,Adequate
5f2266119435,130F9B6DCCF9,"In my experience not all the projects I have gotten have all the guidelines. This leaves me stuck. The guidelines help me determine what material I need to research and how much of it. Sometimes it might even be that I dont know what kind of product I am making to convey that said research. This not only provides lack of a acceptable project but also not giving good guidelines gives unwanted stress towards the student. For example some students I know worry that their project is not good enough to meet the expectations of the teacher, or that they are not doing the work that is wanted. Giving guidelines will provide less stress for the student and with that a better outcome with their project. ",Evidence,Effective
377e516511cd,15A2119D5A49,Even though this election was disputed it has only been one out of 50 elections. ,Rebuttal,Adequate
a7c31fcf0ca0,EDD12BA31EE3,Is venus worth it? Venus is a plant that is close to Earth. They call it Earths twin its the same density and size. Venus is closer to the sun than Earth is withc can make it dangerous for it to be explored. ,Lead,Adequate
fc9d64b273f9,1BE3C3E7DE6C,"First, in the passage it states that I had to feed and water the animals atleast two or three times a day. Second, if you are eighteen you could get drafted. That's another way to help. In the passage it stated that I could get drafted, so they told him to stay there and keep working with the Seagoing Cowboys. Third you also get to help work with the Seagpoing Cow boys. If you are a good worker and kind this would be a great job. If you like the Seagoing Cowboys you will like the fun. ",Evidence,Effective
2c3bba7a3ad7,44E343ECD9B7,"In the sense that kids often time get bored in class, hence the reason they have a bad grade or get in trouble in that class, something has to change. Maybe it's the child's fault, but your traditional lesson isn't the most fun. If the instructor could find out what's boring the child and change the lesson to keep the child entertained then maybe the child wouldn't get into so much trouble with that teacher or maybe the child's grade in the class would take a huge leap. Who says learning can't be fun? With FACS learning could be something kids like to do. ",Evidence,Adequate
cdec6d22d2ac,E3E96A297604,The state legislatures are technically responsible for picking electors and thaat those electors could always the will of the people ,Rebuttal,Adequate
c1d5e682987c,56193E77BB71,"With the constant evoultion of the way we learn, its not suprising that something like FACS was created. Emotions have been with everything living since the beginning of time. Before FACS, it was suprisingly difficult to read these emotions in people. Such a crucial part of our everyday lives could be easily hidden away by a fake smile or a theatre tear. But now that there is FACS helping out, looks are no longer decieving. ",Concluding Statement,Effective
bf98634ed5b7,75C4CC1ABECF,"One thing that connects students and schools all over the nation are the wide range of fun and interesting after school programs, known as extracurriculars. Schools offer lots of extracurricular programs that interest students hobbies and talents from sports, such as football or basketball, to clubs that help out and benefit the school, such as school council or leadership and unique clubs that students share a common interest in such as Harry Potter club or running club. ",Lead,Effective
92111ff91066,561798F1DC3D,"Well it's getting close to that time of year again, summer time! Warm air, bright shinning sun, and many activities that are only available during the summer season. But if you are like some students who go to certain schools maybe not so much. Some schools across the country require students to preform school based learning projects during their summer break. There projects are said to continue in helping kids and teens learn about subjects outside of school. Most of the projects are given by the teacher for the student to complete but some think that this decision should change. ",Lead,Effective
5359e5f732de,20C01368FC3E,"The project could also be a way for them to boost their confidence in what they are capable of doing. It would be a great way for them to see how being independent with certain things is like. Student-designed projects may be a way for students to teach themselves responsibility. It would give them a greater aspect of being able to deal with time management skills. Furthermore they wouldn't be relying on their teachers for specific things such as: making a due date, setting up the project, making specific directions, etc. ",Evidence,Effective
d149f0653fd1,01F69867D1BE,To improve student input schools should move towards student designed projects so students will be more intrested and and involved in the project. ,Position,Effective
8e1f284a9286,0FC4B7E09462,"To wrap everything up, the single best arguement agains tht eelectoral college is what we might call a disaster factor. ",Counterclaim,Adequate
46c1b77bb57b,22FD17FB1BEB,but it is summer break after all and students have been pushing themselves for about ten months. These students are tired and adding stress to their vacation is cruel. ,Rebuttal,Effective
dbbfce31938c,C619833B1D5D,"Well, that point can actually be rebuted as well, because of what Jim Garvin, the chief scientist for NASA's Mars Exploration Program, said, ""As a rule of thumb, you can discern things in a digital image 3 times bigger than the pixer size,"" he added. ""So, if there were objects in this picture like airplanes on the ground or Egyptian-style pyramids or even small shacks, you could see what they were!"". Factually that should be the end of it, it was a clear picture, that was enhanced for farther detail, on a clear day, with a high resolution camera. ",Rebuttal,Effective
252cc5e66b81,4C6B05BD5A81,As fun as that sounds some students will not be able to meet their friends because their friends might have a different sechdules then their other friends. ,Rebuttal,Adequate
73c1973253c2,50F1D8786126,"The way people express their feelings and emotions, can show everyone how you feel about certain things. People who will try to hid their emotions are very fond of themselves for not expressing it.    ",Concluding Statement,Adequate
ddbc04f4989c,7E873F1E93C2,"
Although it's pretty clear that Generic_Name's rule should be passed, it was mentioned earlier to be controversial. This is because several parents and students at Generic_School say that this rule is infringing on their right to pursue happiness. The Constitution clearly states, when listing the rights of all U.S. citizens, ""The pursuit of happiness"" ",Counterclaim,Effective
db34a82db2d6,2D21E920F1B0,"especially on return trips after the animals had been unloaded. The cowboys played baseball and volleyball games in the empty hold where animals had been housed. Table-tennis tournaments,fencing,boxing,reading,whittling, and games also helped pass time.) ",Evidence,Adequate
abd3401e573d,A143BE759AD2,"Lastly, my final reason is how hard it will be to access this tech. ",Counterclaim,Adequate
2c111569363d,85A320C7B916,The author studies Venus the way some people study science and how others study math and English. The auhtor studies really hard on what he wants and needs to know. ,Lead,Adequate
35e35d4e57ce,3BBD17BCB443,"Venus has the closest density, size and occasionally the cloest planet in distance too. This planet is the second planext from the Earth. All the planets orbit the sun at different speeds, and sometimes Eath is closer to Mars and other times it is closer to Venus. Venus is called the ""Evening star"" ",Evidence,Adequate
16a565a61644,0A618B980D2D,I really like Luke he seems like a very helpful person and very succesful in life he didn't give up on school or those animals or the people who needed him to help and they probaly thank him for what he has done. ,Evidence,Adequate
93a1004a003a,900A879708F0,"However, schools often implement strict regulations on phones, food, and talking as they know how much these things can be a distraction to a learning environment. ",Rebuttal,Effective
92290bc34513,0BF9F64D6FD1,the process of self exploration is the key to molding successful minds. ,Claim,Effective
be1671565fd7,9F9FBC5BF6B3,"Teachers are the best fit to design summer assignments for students because, unlike teens with only fun and relaxation on their minds who would not take the project seriously, teachers can create an assignment that will prepare the student for the specified curriculum and demonstrate what they expect from them. This should have tremendous benefits when it comes to student preparedness, class switches, and student success. ",Concluding Statement,Effective
1e27af14ea91,B8757E80EB9D,"Even if we do that though, what would be the sense if we cant even live on the planet. Half of the stuff we use today will never outstand the heat or pressure that Venus has. Including phones,cars,and houses. ",Rebuttal,Adequate
1c64b49704ec,477BCBA4035E,"Overall this article's information and research was great and really did inform me about the planet, but the conclusion ruiened it all. The whole time (paragraphs 1-7) the author lead all the readers to believe that going to Venus has too many dangers and isnt in our best interest, yet the conclusion stated that going to Venus would be a great oppurtunity and that ""Our travels on earth and beyond should not be limited by dangers and doubts but should be expanded to meet the very edges of imagination and innovation"". If the passage had evidence all throught that going to Venus is beneficial, it would be a perfect article but i was all around confused when I found out the author was all for going to Venus and it ruiened and confused the whole article.          ",Concluding Statement,Effective
b28d3db178eb,507CBD8E9670,"Studying planets is often hard because of the conditions in space, and also on the planet Venus there are also very harsh conditions that humans cannot survive. Venus has a thick atmosphere of almost 97 percent carbon dioxide blankets Venus ",Lead,Adequate
cc1a910cec00,392CC0403D93,"Life for many people in Vauban is great because its the relief of no polution, the crashes and killings of pedestrians decreased greatly and just all in all less money wasted on gas. 
",Claim,Effective
b2a537accc26,259C732E5942,"Now, say you a new student at a new school. Like anyone else you would like to make new friends. ",Claim,Adequate
d6861e6b6fa2,9DBB8B0C3367,Texting while driving is a big problem though out the world with the death rate going up every year. ,Position,Adequate
2ceb0e641a85,7FB02EF0CF58,I agree and disagree with the principals decision. ,Position,Adequate
ed3eca8da3a5,4FAC3B29417F,"While this can be true, teachers can create an overall rubric that addresses the key elements that each project must include, no matter the topic. ",Rebuttal,Effective
0634066e53cd,4AEA13D034F3,"A good thing about the tool is that a, teacher would be able to tell when a student is having a bad day or when you are having mixed emotions. An nother good thing about the software is that teachers would be a ble to tell when students are getting bored in class or are lost in class. The software gives off a prectage of your body by telling if you are happy, nice, mean, fearful, and being disgusted with people. ",Evidence,Adequate
17080dbc12b3,B87E8822B2D2,"Drivers however, underestimate their risks of getting into an accident while using their cell phone on the road. Companies also have this break with reality. They promote things like hand free devices, ",Counterclaim,Adequate
7f295aca0709,086603D5B319,it makes students do something they don't like ,Claim,Adequate
e0cc245e11dc,20897B41AFB8,"Aside from the mental, physical, and financial sides of the argument there is also the legal side of it. Many states are starting to realize the dangers of distracted driving and are prohibiting it, and if anyone is caught they will either be fined or sentenced to serve in jail for a short time. ",Claim,Effective
6249b31b77fd,2D21E920F1B0,you get to travel all kinds of places in the world ,Claim,Adequate
2f783dfa9868,0D7FAACC389B,The fact that facial action coding system is basiclly thinking and telling you how to feel it doesn't really know what you really feel. ,Claim,Adequate
92252c56a61f,20F9EE3FEC1F,"""A thick atmosphere of almost 97 percent carbon dioxide blankets Venus. Even more challenging are the coulds of higly corrosive sufuric acid in Venus's atmosphere."" In Paragraph 3, the author does not give a higly convincing argument. Humans need oxygen to live, so how is it expected for them to survive on a planet that has little to no oxygen? It is not possible to change the chemical makeup of an entire planet. The argument displayed by the author is not credible in any way and does not give any reason as to why one would want to continure research in this area. ",Evidence,Effective
36f08542ad78,8B4BBB3F601D,"However, there are probably plus sides to the Electoral college as well. ",Counterclaim,Adequate
1b9590dbca84,0202B3446E2E,The oposition states that the electoral collage is a nessesity for organization. ,Counterclaim,Adequate
14ad50e5898a,CC54E936E3FA,Thats why i think this ablility to read the emotional expressions of students in a classroom is valuable . ,Concluding Statement,Adequate
92e1f57c2fa7,A969E6903C17,but skeptics a different thing. That pobably aliens makings were being hidden by the haze. ,Counterclaim,Adequate
e1db3779bb5a,3C693CBFEFB5,That's not true because when you hear so many stories and people talking about their experiences with home schooling you have to take to consideration that maybe it helps some and not others. ,Rebuttal,Effective
e97b99d87993,15DF5443F192,"from the understanding that I'm getting,  I advise everyone to take the bus,walk,skate,bike,or hike just to get to where you got to be also you could just not own a car. Because either way, if u break the rules you are going to be to be fine or  they could impounded your car and thats would be a lot of mess  becasue you paid for a car but u gotta pay the fine and pay to get your car out the impounded. So EVERYONE just walk,bike,hike,skate,or take a train or bus.    ",Concluding Statement,Adequate
c76404cbc69e,3DB1BD9129DB,Expressing emotions everyday could improve how you actually feel and you may get more out of life than you would with a straight face ,Claim,Adequate
d7df956a2957,AB5D77D7E5A1,"So if you can't force them to do it then how can you get them to do community service?

Encouragement is the answer. ",Rebuttal,Adequate
c3387fef7b98,7A86EA9E70AC,IN CONCLUTION PEOPLE DONT NEED CARS ,Position,Adequate
76984a0b1460,62CA32AA1C52,students should design summer projects ,Position,Adequate
1bc460b6ac4e,2B015051803E,"Some school require student to do summer projects to assure they continue learning even during break, should these project be teacher or student designed. During break the Summer Project should be student designed. student can start this project anytime they like, they can make their design exciting or boring, and show that student put a lot of effort into their work. If student have a choice of teacher give idea to write about or student come up with one what would you choose? ",Concluding Statement,Adequate
6b768abc51f5,99EBD3D71311,"Summer projects are often seen by the student populous as a scourge upon their lives, more work to procrastinate on. To teachers, however, they are a tool which students can use in order to stay on track with their education and keep up-to-date information with. As painful as they seem, these projects are created with a significant goal in mind: teaching accurately and consistently. ",Lead,Effective
8616e9edf70a,0C751C31DE85,there are not a variety of activities to choose from ,Claim,Adequate
21646cb11101,929CEA8DDB32,"Less polution is happemning because of the new bans of cars in some places. And people are loving it! A more healthier lifestyle is now being used. Less polutiion more healthier for you and for Earth. It wont let me leave this page, im confused.            ",Concluding Statement,Adequate
110cbcd5cf1e,26E218908B4C,"Likewise, with the idea that a student designs a project on a topic they are interested in, the project will be done more thoroughly, allowing students to gain a deeper understanding. ",Claim,Effective
ed1f22a6410c,B45B48157399,"Schools should use facial action coding system because its use full for school. 
",Position,Adequate
0f72d11d6d97,9263362F551D,There are three ways NASA has been try to beat Venus challenges. We have yet to try them on Venus. If one of this ways works we have the satitfation of completing the challenge Venus gave us. ,Concluding Statement,Adequate
f7211c5f630f,9DC3CADE8953,their are some bad things about having projects during the summer but mainly bad things. Their are a lot of good things about having no projects in the summer. During the summer it should be for the students to have fun and not worry about school. The summer is a time when students should have to worry about school or test or projects being due. Im going for no projects during the summer they mess so many plans up.     ,Concluding Statement,Adequate
fbc02450ab33,099985A2A99C,"Venus has a thick atmosphere of almost 97 percent carbon dioxide blankets Venus> Its on paragraph 3 line 1 "" A thick atmosphere of amost 97 percent carbon dioxide blankets venus"". the clouds are highly corrosive sulfuric acid in Venus atmosphere. Its on paragraph 3 line 3. So its really dangerous but if they want to study it its for a reason maybe there is things they are can do to fix it so it can be a good place where humans can live, ",Evidence,Adequate
374a49d5140f,1B2470F552CC,"if you did a lab on if your partner can tell if your happy or sad. the comouter can tell if your faking a smile and if your really smiling, but in a humans eye it hard to see sometimes. people say that your faking a smile until your cheek bones move and tightin up. ",Evidence,Adequate
113b15e682d5,9FFC1CFE7CD9,it should be student designed ,Position,Effective
4d038ab32fd3,457D9B0CF71F,"Now, many will be able to disagree with me saying that, ""we need cars to drive long distances,"" or, ""I rather pay and have my own privacy then be with twenty people I don't know on a bus."" ",Counterclaim,Effective
52150c6abb12,3A40FAC3D585,"Many people thought that is was an alien momument, but on April 5, 1998 Mars Globsl Surveyor flew over Cydonia for the first time. A Man named Micheal Malin and his Mars Oribter Camera team wanted to prove that there were no aliens. Him and his team snapped a picture ten times sharper than the original Viking photos ",Evidence,Adequate
8cec2b1d32a5,4200B5E4E9DF,"Long ago Venus was proably covered by oceans and may have supported various formes of life similar to those of earth. It has similar geological features such as valleys, mountains, and craters. Due to its close proximity it may be the nearest option for a planetary visit. NASA in particular would like to send humans to study the planet. They thing that if they have the space craft hover about 30 miles above the planets surface they may be able to avoid the brunt of the problems. ",Evidence,Adequate
d8d7cd136685,39BA457D842C,Venus may be very challenging to get around or to beable to find more out about ,Claim,Adequate
e2f0b7cd9712,C6204A4BFD65,its not hard to ride a bike or to get a electric scooter or a moped or walk it benefits you and our earth i mean i agree with driving just to places you need to go like traval or grocrey shopping not to race act dumb or black smoke people i we made a don't drive your car week it would really benefit our earth alot. ,Concluding Statement,Adequate
39e86436357c,2275D39DC5AD,"In the article the author trlls how a new technolgy called the Facisl Action Coding System that identify human emotions. The software is used to ""calculate emotions"". They can caculate six basic emotions ""happiness, suprise. anger,disgust,fear, and sadness"". It can tell all of thoes things by your face movements and how you talk. Anyonw can tell if you are sad and dont want to be bothered so it shows emotion but if you ""put on a happy face"" it could accully make you very happy. 
",Lead,Adequate
b4be71854bdf,C1F74C98535E,"So all in all the author made a good essay and did well supporting his idea. The author was consistent with his/her idea.

The author made sure to use important facts to support their idea. The author was well rounded and did not seemed biased with their idea and was very convincing with what they said. ",Concluding Statement,Adequate
921de06ede58,DF76BBCD85B1,"On the other hand, if students design their own projects that could help them mature. 
",Counterclaim,Adequate
133ad8a679de,5B43D8B934CC,"But, as much as the Electoral College may not seem beneficial and fair to some it can be a good thing also ",Counterclaim,Adequate
6c541f3d945d,561798F1DC3D,While the idea of the over the summer projects are neat they really should be student run. ,Position,Adequate
8764dd869dd6,179A2FE8AF05,"A car crash can also kill loved ones, ",Claim,Adequate
285ed5662e9b,48D1D86D5110,The electoral college does restore some of the weight in the political balance in large states. ,Counterclaim,Adequate
557c24b0a8d9,7AFEC882B9F5,In my opinion projects should be teacher designed ,Position,Adequate
cb3e78d407b7,CD954674E1A6,"but just telling the students to turn the phone of is not enough, ",Rebuttal,Adequate
4fcd49dab3c9,24E0B6DB7B49,"even if some kids don't want to do it because its ""stupid"" or ""a waste of my time"" ",Counterclaim,Adequate
69716a55e169,0EEE131E57EC,"I am Jacob Bomberger. I am a sea going cowboy and I have crossed the Atlantic ocean 16 times, and the pacific 2 times. Being a sea cowboy is a great way to serve people in war. I have been to many places, I have been seeing sites and serveing countries for a long time. 
",Lead,Adequate
13aa3ca192c8,DF1287CDBCF6,It would be a nice thing to do ,Rebuttal,Adequate
abd6c72ca989,6FAA9368824D,This system could be valuable but some people may see it different. ,Counterclaim,Adequate
76f8380b692c,7F513E5DA945,"In conclusion the new technology would be usful in a classroom because it can help teachers identify how a student if feeling, if they are confused, and if they need help. ",Concluding Statement,Adequate
c64dabc16654,C24C0AF54AB1,But some people might say that they wouldnt go there because once again it's just too dangerous or that if they wanted to go there then they definetly not go on a boat and they would much more want to fly there ,Counterclaim,Adequate
43c6c7613cb5,758703E5BF73,"The burden of having an entire project to do over the course of summer is the last thing students want. This task is forced upon them by their schools. Therefore, educators should be accounted for having a well designed project to assign to students. The students already have extra, unwanted work to complete. They shouldn't have to be given the additional stress of having to design their own projects.  ",Concluding Statement,Effective
32225f6ab024,1EFAC87220DC,"But this is why I think students should come up with their own project designs and then have the teachers check their idea before they start working, so that their project isn't too easy or short ",Rebuttal,Adequate
2ec94add1a53,3BFD98581812,the authoer states that venus is eraths twin ,Claim,Adequate
ead763ee2857,0BB223A348F6,When does school end? It doesn't because of teachers who give students hard assignments to do over summer break. Summer projects are a fun way to engage students in learning over their 2 month break. ,Lead,Adequate
457fdf0068fb,5773EED58DF2,"but according to history things can happen such as in the 2000 election. Why keep a process that the majority of the citizens of this country don't want and a process that just causes issues. 
",Rebuttal,Effective
da1c2ec712e3,24FA36D49DB7,others might even venture beyond what they are already familiar with ,Claim,Adequate
